Year,League,Removed-Players,RP-Ranking,Original-Range,New-Ranking,New-Range,Original-Ranking
2012,NL,"('Kimbrel', 'Ramirez')","(8, 9)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Bruce')","(8, 10)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Holliday')","(8, 11)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Chapman')","(8, 12)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Phillips')","(8, 13)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Dickey')","(8, 14)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Votto')","(8, 15)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Kershaw')","(8, 16)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Desmond')","(8, 17)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Bourn')","(8, 18)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
