Season,Week,Official Borda,Borda-Top1,Borda-Top3,Borda-Top5,Borda-Top10,Dowdall
2015,15,"clemson-tigers, alabama-crimson-tide, michigan-state-spartans, oklahoma-sooners, stanford-cardinal","clemson-tigers, alabama-crimson-tide, michigan-state-spartans, oklahoma-sooners, stanford-cardinal","clemson-tigers, alabama-crimson-tide, michigan-state-spartans, oklahoma-sooners, stanford-cardinal","clemson-tigers, alabama-crimson-tide, michigan-state-spartans, oklahoma-sooners, stanford-cardinal","clemson-tigers, alabama-crimson-tide, michigan-state-spartans, oklahoma-sooners, stanford-cardinal","clemson-tigers, alabama-crimson-tide, michigan-state-spartans, oklahoma-sooners, stanford-cardinal"
2015,16,"alabama-crimson-tide, clemson-tigers, stanford-cardinal, ohio-state-buckeyes, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, stanford-cardinal, ohio-state-buckeyes, michigan-state-spartans","alabama-crimson-tide, clemson-tigers, stanford-cardinal, ohio-state-buckeyes, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, stanford-cardinal, ohio-state-buckeyes, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, stanford-cardinal, ohio-state-buckeyes, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, stanford-cardinal, ohio-state-buckeyes, oklahoma-sooners"
2016,1,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners, florida-state-seminoles, lsu-tigers","alabama-crimson-tide, clemson-tigers, florida-state-seminoles, oklahoma-sooners, ohio-state-buckeyes","alabama-crimson-tide, clemson-tigers, oklahoma-sooners, florida-state-seminoles, lsu-tigers","alabama-crimson-tide, clemson-tigers, oklahoma-sooners, florida-state-seminoles, lsu-tigers","alabama-crimson-tide, clemson-tigers, oklahoma-sooners, florida-state-seminoles, lsu-tigers","alabama-crimson-tide, clemson-tigers, oklahoma-sooners, florida-state-seminoles, lsu-tigers"
2016,2,"alabama-crimson-tide, clemson-tigers, florida-state-seminoles, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, florida-state-seminoles, clemson-tigers, michigan-wolverines, houston-cougars","alabama-crimson-tide, florida-state-seminoles, clemson-tigers, ohio-state-buckeyes, houston-cougars","alabama-crimson-tide, clemson-tigers, florida-state-seminoles, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, clemson-tigers, florida-state-seminoles, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, florida-state-seminoles, clemson-tigers, ohio-state-buckeyes, michigan-wolverines"
2016,3,"alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes, michigan-wolverines, clemson-tigers","alabama-crimson-tide, florida-state-seminoles, michigan-wolverines, houston-cougars, ohio-state-buckeyes","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes, clemson-tigers, michigan-wolverines","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes, clemson-tigers, michigan-wolverines","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes, michigan-wolverines, clemson-tigers","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes, michigan-wolverines, clemson-tigers"
2016,4,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, louisville-cardinals, ohio-state-buckeyes, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers"
2016,5,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, louisville-cardinals, ohio-state-buckeyes, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals, michigan-wolverines, clemson-tigers"
2016,6,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, houston-cougars","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, houston-cougars","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, houston-cougars","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, houston-cougars"
2016,7,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies","alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes, michigan-wolverines, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers, michigan-wolverines, washington-huskies"
2016,8,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines, clemson-tigers, washington-huskies","alabama-crimson-tide, michigan-wolverines, ohio-state-buckeyes, clemson-tigers, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines, clemson-tigers, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines, clemson-tigers, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines, clemson-tigers, washington-huskies","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines, clemson-tigers, washington-huskies"
