jon-johnson,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,lsu-tigers,michigan-wolverines,auburn-tigers,utah-utes,florida-gators,texas-longhorns,penn-state-nittany-lions,notre-dame-fighting-irish,oregon-ducks,wisconsin-badgers,texas-am-aggies,washington-state-cougars,michigan-state-spartans,iowa-hawkeyes,maryland-terrapins,army-west-point-black-knights,ucf-knights,california-golden-bears,boise-state-broncos,virginia-cavaliers
jon-wilner,2019,3,clemson-tigers,lsu-tigers,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,texas-longhorns,utah-utes,auburn-tigers,oregon-ducks,notre-dame-fighting-irish,michigan-wolverines,army-west-point-black-knights,florida-gators,usc-trojans,wisconsin-badgers,michigan-state-spartans,california-golden-bears,washington-huskies,penn-state-nittany-lions,iowa-hawkeyes,ucf-knights,colorado-buffaloes,washington-state-cougars,maryland-terrapins
josh-furlong,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,lsu-tigers,ohio-state-buckeyes,florida-gators,texas-longhorns,auburn-tigers,utah-utes,michigan-wolverines,penn-state-nittany-lions,notre-dame-fighting-irish,oregon-ducks,washington-huskies,texas-am-aggies,ucf-knights,michigan-state-spartans,wisconsin-badgers,iowa-hawkeyes,washington-state-cougars,maryland-terrapins,usc-trojans,virginia-cavaliers,boise-state-broncos
kirk-bohls,2019,3,clemson-tigers,alabama-crimson-tide,ohio-state-buckeyes,lsu-tigers,georgia-bulldogs,oklahoma-sooners,utah-utes,auburn-tigers,florida-gators,oregon-ducks,notre-dame-fighting-irish,texas-longhorns,michigan-wolverines,ucf-knights,wisconsin-badgers,california-golden-bears,penn-state-nittany-lions,washington-state-cougars,washington-huskies,iowa-hawkeyes,maryland-terrapins,texas-am-aggies,michigan-state-spartans,boise-state-broncos,north-carolina-tar-heels
lauren-brownlow,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,utah-utes,notre-dame-fighting-irish,texas-longhorns,auburn-tigers,oregon-ducks,florida-gators,iowa-hawkeyes,penn-state-nittany-lions,michigan-wolverines,texas-am-aggies,ucf-knights,wisconsin-badgers,maryland-terrapins,washington-huskies,virginia-cavaliers,usc-trojans,michigan-state-spartans,north-carolina-tar-heels,boise-state-broncos
marc-weiszer,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,lsu-tigers,oklahoma-sooners,ohio-state-buckeyes,auburn-tigers,notre-dame-fighting-irish,florida-gators,utah-utes,texas-longhorns,michigan-wolverines,wisconsin-badgers,penn-state-nittany-lions,oregon-ducks,michigan-state-spartans,ucf-knights,texas-am-aggies,iowa-hawkeyes,washington-state-cougars,virginia-cavaliers,north-carolina-tar-heels,maryland-terrapins,boise-state-broncos,usc-trojans
mark-whicker,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,lsu-tigers,florida-gators,georgia-bulldogs,ohio-state-buckeyes,auburn-tigers,wisconsin-badgers,notre-dame-fighting-irish,michigan-wolverines,texas-longhorns,oregon-ducks,ucf-knights,utah-utes,boise-state-broncos,michigan-state-spartans,maryland-terrapins,penn-state-nittany-lions,virginia-cavaliers,texas-am-aggies,memphis-tigers,iowa-hawkeyes,colorado-buffaloes,usc-trojans
matt-baker,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,lsu-tigers,ohio-state-buckeyes,oklahoma-sooners,auburn-tigers,florida-gators,notre-dame-fighting-irish,wisconsin-badgers,utah-utes,penn-state-nittany-lions,michigan-wolverines,oregon-ducks,texas-am-aggies,iowa-hawkeyes,michigan-state-spartans,ucf-knights,maryland-terrapins,mississippi-state-bulldogs,washington-state-cougars,virginia-cavaliers,boise-state-broncos,texas-longhorns,north-carolina-tar-heels
matt-brown,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,ohio-state-buckeyes,georgia-bulldogs,oklahoma-sooners,texas-longhorns,auburn-tigers,utah-utes,penn-state-nittany-lions,notre-dame-fighting-irish,oregon-ducks,wisconsin-badgers,florida-gators,michigan-state-spartans,iowa-hawkeyes,texas-am-aggies,michigan-wolverines,ucf-knights,oklahoma-state-cowboys,virginia-cavaliers,boise-state-broncos,maryland-terrapins,north-carolina-tar-heels,usc-trojans
matt-mccoy,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,lsu-tigers,ohio-state-buckeyes,georgia-bulldogs,notre-dame-fighting-irish,auburn-tigers,wisconsin-badgers,michigan-wolverines,penn-state-nittany-lions,texas-longhorns,florida-gators,utah-utes,texas-am-aggies,oregon-ducks,michigan-state-spartans,ucf-knights,iowa-hawkeyes,maryland-terrapins,washington-state-cougars,usc-trojans,boise-state-broncos,north-carolina-tar-heels,army-west-point-black-knights
michael-lev,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,florida-gators,notre-dame-fighting-irish,utah-utes,penn-state-nittany-lions,wisconsin-badgers,michigan-wolverines,texas-longhorns,texas-am-aggies,auburn-tigers,oregon-ducks,iowa-hawkeyes,michigan-state-spartans,ucf-knights,maryland-terrapins,washington-state-cougars,tcu-horned-frogs,mississippi-state-bulldogs,boise-state-broncos,usc-trojans
michael-vega,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,florida-gators,michigan-wolverines,notre-dame-fighting-irish,auburn-tigers,washington-huskies,penn-state-nittany-lions,texas-longhorns,utah-utes,ucf-knights,washington-state-cougars,texas-am-aggies,wisconsin-badgers,iowa-hawkeyes,virginia-cavaliers,boise-state-broncos,maryland-terrapins,usc-trojans,boston-college-eagles,oregon-ducks
nate-mink,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,auburn-tigers,penn-state-nittany-lions,utah-utes,michigan-wolverines,notre-dame-fighting-irish,texas-longhorns,wisconsin-badgers,ucf-knights,oregon-ducks,florida-gators,texas-am-aggies,virginia-cavaliers,michigan-state-spartans,tcu-horned-frogs,iowa-hawkeyes,washington-state-cougars,oklahoma-state-cowboys,washington-huskies,colorado-buffaloes
nathan-baird,2019,3,clemson-tigers,georgia-bulldogs,alabama-crimson-tide,lsu-tigers,ohio-state-buckeyes,oklahoma-sooners,auburn-tigers,texas-longhorns,florida-gators,notre-dame-fighting-irish,wisconsin-badgers,michigan-wolverines,texas-am-aggies,oregon-ducks,utah-utes,penn-state-nittany-lions,washington-state-cougars,michigan-state-spartans,ucf-knights,boise-state-broncos,mississippi-state-bulldogs,iowa-hawkeyes,usc-trojans,oklahoma-state-cowboys,maryland-terrapins
