Year,League,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2017,AL,"Cruz, Schoop, Simmons",(Cruz Schoop),5,2,(Schoop Simmons),2,1,(Simmons Cruz),6,3
2017,AL,"Encarnacion, Lindor, Trout",(Encarnacion Lindor),0,1,(Lindor Trout),5,22,(Trout Encarnacion),0,1
2017,NL,"Bellinger, Harper, Ozuna",(Bellinger Harper),2,3,(Harper Ozuna),0,1,(Ozuna Bellinger),0,2
2017,NL,"Bellinger, Harper, Turner",(Bellinger Harper),2,3,(Harper Turner),1,2,(Turner Bellinger),2,5
2017,NL,"Bryant, Harper, Jansen",(Bryant Harper),4,2,(Harper Jansen),1,0,(Jansen Bryant),1,0
2017,NL,"Bryant, Harper, Rizzo",(Bryant Harper),4,2,(Harper Rizzo),3,0,(Rizzo Bryant),3,2
2017,NL,"Bryant, Kershaw, Rizzo",(Bryant Kershaw),2,0,(Kershaw Rizzo),1,0,(Rizzo Bryant),3,2
2017,NL,"Bryant, Martinez, Rizzo",(Bryant Martinez),4,0,(Martinez Rizzo),2,1,(Rizzo Bryant),3,2
2017,NL,"Bryant, Rizzo, Scherzer",(Bryant Rizzo),2,3,(Rizzo Scherzer),0,1,(Scherzer Bryant),2,10
2017,NL,"Bryant, Rizzo, Turner",(Bryant Rizzo),2,3,(Rizzo Turner),0,1,(Turner Bryant),2,17
2017,NL,"Harper, Jansen, Turner",(Harper Jansen),1,0,(Jansen Turner),1,0,(Turner Harper),2,1
2017,NL,"Harper, Martinez, Ozuna",(Harper Martinez),1,0,(Martinez Ozuna),1,0,(Ozuna Harper),1,0
2017,NL,"Harper, Murphy, Ozuna",(Harper Murphy),1,0,(Murphy Ozuna),1,0,(Ozuna Harper),1,0
2017,NL,"Harper, Ozuna, Rizzo",(Harper Ozuna),0,1,(Ozuna Rizzo),0,1,(Rizzo Harper),0,3
2017,NL,"Pham, Seager, Turner",(Pham Seager),1,0,(Seager Turner),1,0,(Turner Pham),8,4
2018,AL,"Altuve, Gregorius, Judge",(Altuve Gregorius),0,1,(Gregorius Judge),0,1,(Judge Altuve),0,1
2018,AL,"DavisC, Simmons, Verlander",(DavisC Simmons),0,1,(Simmons Verlander),0,3,(Verlander DavisC),0,5
2018,NL,"AcunaJr, Carpenter, Nola",(AcunaJr Carpenter),1,4,(Carpenter Nola),0,2,(Nola AcunaJr),0,1
2018,NL,"Aguilar, Cain, Scherzer",(Aguilar Cain),0,1,(Cain Scherzer),5,7,(Scherzer Aguilar),0,1
2018,NL,"Aguilar, Carpenter, Scherzer",(Aguilar Carpenter),0,3,(Carpenter Scherzer),4,6,(Scherzer Aguilar),0,1
2018,NL,"Aguilar, Scherzer, Story",(Aguilar Scherzer),1,0,(Scherzer Story),5,4,(Story Aguilar),3,0
2018,NL,"Cain, Muncy, Story",(Cain Muncy),2,0,(Muncy Story),2,1,(Story Cain),15,8
2018,NL,"Cain, Rizzo, Scherzer",(Cain Rizzo),2,0,(Rizzo Scherzer),1,0,(Scherzer Cain),7,5
2018,NL,"Carpenter, Muncy, Story",(Carpenter Muncy),3,0,(Muncy Story),2,1,(Story Carpenter),12,10
2018,NL,"Carpenter, Nola, Rendon",(Carpenter Nola),0,2,(Nola Rendon),0,1,(Rendon Carpenter),3,6
2018,NL,"Carpenter, Nola, Turner",(Carpenter Nola),0,2,(Nola Turner),0,1,(Turner Carpenter),0,5
2018,NL,"Carpenter, Rizzo, Scherzer",(Carpenter Rizzo),2,1,(Rizzo Scherzer),1,0,(Scherzer Carpenter),6,4
2018,NL,"Rizzo, Scherzer, Story",(Rizzo Scherzer),1,0,(Scherzer Story),5,4,(Story Rizzo),3,0
2019,AL,"Betts, Chapman, Meadows",(Betts Chapman),11,8,(Chapman Meadows),5,0,(Meadows Betts),2,1
2019,AL,"Betts, Rosario, Verlander",(Betts Rosario),1,0,(Rosario Verlander),1,0,(Verlander Betts),5,4
2019,AL,"Chapman, Cole, Lindor",(Chapman Cole),3,8,(Cole Lindor),0,1,(Lindor Chapman),1,3
2019,AL,"Chapman, Cruz, Polanco",(Chapman Cruz),3,9,(Cruz Polanco),1,2,(Polanco Chapman),1,6
2019,AL,"Chapman, Cruz, Springer",(Chapman Cruz),3,9,(Cruz Springer),6,7,(Springer Chapman),8,10
2019,AL,"Chapman, Rosario, Torres",(Chapman Rosario),1,0,(Rosario Torres),1,0,(Torres Chapman),1,0
2019,AL,"Chapman, Rosario, Verlander",(Chapman Rosario),1,0,(Rosario Verlander),1,0,(Verlander Chapman),8,3
2019,AL,"Cole, Cruz, Polanco",(Cole Cruz),1,3,(Cruz Polanco),1,2,(Polanco Cole),0,2
2019,AL,"Cole, Cruz, Springer",(Cole Cruz),1,3,(Cruz Springer),6,7,(Springer Cole),2,7
