TeamA,TeamB,A>B,B>A
iowa-hawkeyes,michigan-state-spartans,0,60
iowa-hawkeyes,michigan-wolverines,16,5
iowa-hawkeyes,mississippi-state-bulldogs,15,7
iowa-hawkeyes,missouri-tigers,13,25
iowa-hawkeyes,navy-midshipmen,17,0
iowa-hawkeyes,nebraska-cornhuskers,14,32
iowa-hawkeyes,nevada-wolf-pack,17,1
iowa-hawkeyes,north-carolina-tar-heels,12,34
iowa-hawkeyes,northwestern-wildcats,17,1
iowa-hawkeyes,notre-dame-fighting-irish,6,50
iowa-hawkeyes,ohio-state-buckeyes,0,60
iowa-hawkeyes,oklahoma-sooners,0,60
iowa-hawkeyes,oklahoma-state-cowboys,17,7
iowa-hawkeyes,ole-miss-rebels,3,53
iowa-hawkeyes,oregon-ducks,0,60
iowa-hawkeyes,oregon-state-beavers,16,2
iowa-hawkeyes,penn-state-nittany-lions,17,2
iowa-hawkeyes,south-carolina-gamecocks,0,60
iowa-hawkeyes,stanford-cardinal,0,60
iowa-hawkeyes,tcu-horned-frogs,17,5
iowa-hawkeyes,texas-am-aggies,11,38
iowa-hawkeyes,texas-longhorns,12,22
iowa-hawkeyes,texas-tech-red-raiders,16,5
iowa-hawkeyes,ucf-knights,16,16
iowa-hawkeyes,ucla-bruins,0,60
iowa-hawkeyes,usc-trojans,1,58
iowa-hawkeyes,utah-state-aggies,17,0
iowa-hawkeyes,vanderbilt-commodores,17,1
iowa-hawkeyes,virginia-tech-hokies,15,3
iowa-hawkeyes,washington-huskies,11,34
iowa-hawkeyes,wisconsin-badgers,2,54
kansas-state-wildcats,louisiana-lafayette-ragin-cajuns,36,1
kansas-state-wildcats,louisville-cardinals,36,8
kansas-state-wildcats,lsu-tigers,1,59
kansas-state-wildcats,marshall-thundering-herd,36,6
kansas-state-wildcats,miami-fl-hurricanes,35,1
kansas-state-wildcats,michigan-state-spartans,0,60
kansas-state-wildcats,michigan-wolverines,36,4
kansas-state-wildcats,mississippi-state-bulldogs,36,2
kansas-state-wildcats,missouri-tigers,30,16
kansas-state-wildcats,navy-midshipmen,36,1
kansas-state-wildcats,nebraska-cornhuskers,28,21
kansas-state-wildcats,nevada-wolf-pack,36,1
kansas-state-wildcats,north-carolina-tar-heels,31,20
kansas-state-wildcats,northwestern-wildcats,36,2
kansas-state-wildcats,notre-dame-fighting-irish,13,46
kansas-state-wildcats,ohio-state-buckeyes,0,60
kansas-state-wildcats,oklahoma-sooners,0,60
kansas-state-wildcats,oklahoma-state-cowboys,36,4
kansas-state-wildcats,ole-miss-rebels,15,42
kansas-state-wildcats,oregon-ducks,0,60
kansas-state-wildcats,oregon-state-beavers,36,1
kansas-state-wildcats,penn-state-nittany-lions,35,1
kansas-state-wildcats,south-carolina-gamecocks,0,60
kansas-state-wildcats,stanford-cardinal,2,58
kansas-state-wildcats,tcu-horned-frogs,36,3
kansas-state-wildcats,texas-am-aggies,30,22
kansas-state-wildcats,texas-longhorns,34,12
kansas-state-wildcats,texas-tech-red-raiders,36,5
kansas-state-wildcats,ucf-knights,35,12
