Pollster,Season,Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th
doug-doughty,2015,6,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,baylor-bears,lsu-tigers,clemson-tigers,utah-utes,florida-state-seminoles,alabama-crimson-tide,texas-am-aggies,oklahoma-sooners,northwestern-wildcats,florida-gators,iowa-hawkeyes,ole-miss-rebels,oklahoma-state-cowboys,california-golden-bears,notre-dame-fighting-irish,usc-trojans,ucla-bruins,georgia-bulldogs,michigan-wolverines,stanford-cardinal,navy-midshipmen,toledo-rockets
doug-lesmerises,2015,6,ohio-state-buckeyes,texas-am-aggies,northwestern-wildcats,utah-utes,clemson-tigers,florida-gators,baylor-bears,michigan-state-spartans,lsu-tigers,ole-miss-rebels,alabama-crimson-tide,tcu-horned-frogs,stanford-cardinal,oklahoma-sooners,florida-state-seminoles,ucla-bruins,usc-trojans,iowa-hawkeyes,michigan-wolverines,notre-dame-fighting-irish,duke-blue-devils,georgia-bulldogs,california-golden-bears,oklahoma-state-cowboys,temple-owls
duane-rankin,2015,6,ohio-state-buckeyes,tcu-horned-frogs,michigan-state-spartans,baylor-bears,clemson-tigers,alabama-crimson-tide,florida-state-seminoles,lsu-tigers,oklahoma-sooners,notre-dame-fighting-irish,utah-utes,northwestern-wildcats,texas-am-aggies,stanford-cardinal,florida-gators,georgia-bulldogs,ole-miss-rebels,ucla-bruins,oklahoma-state-cowboys,michigan-wolverines,usc-trojans,california-golden-bears,iowa-hawkeyes,oregon-ducks,toledo-rockets
ed-daigneault,2015,6,ohio-state-buckeyes,tcu-horned-frogs,baylor-bears,lsu-tigers,alabama-crimson-tide,florida-state-seminoles,michigan-state-spartans,clemson-tigers,texas-am-aggies,oklahoma-sooners,utah-utes,notre-dame-fighting-irish,usc-trojans,ole-miss-rebels,michigan-wolverines,stanford-cardinal,northwestern-wildcats,boise-state-broncos,navy-midshipmen,ucla-bruins,georgia-bulldogs,mississippi-state-bulldogs,florida-gators,temple-owls,toledo-rockets
ed-johnson,2015,6,baylor-bears,alabama-crimson-tide,ohio-state-buckeyes,utah-utes,clemson-tigers,tcu-horned-frogs,michigan-state-spartans,lsu-tigers,florida-gators,florida-state-seminoles,oklahoma-sooners,texas-am-aggies,ole-miss-rebels,georgia-bulldogs,michigan-wolverines,notre-dame-fighting-irish,northwestern-wildcats,ucla-bruins,stanford-cardinal,usc-trojans,iowa-hawkeyes,boise-state-broncos,houston-cougars,toledo-rockets,california-golden-bears
eric-avidon,2015,6,ohio-state-buckeyes,michigan-state-spartans,tcu-horned-frogs,utah-utes,baylor-bears,clemson-tigers,florida-gators,lsu-tigers,notre-dame-fighting-irish,ole-miss-rebels,alabama-crimson-tide,texas-am-aggies,florida-state-seminoles,oklahoma-sooners,northwestern-wildcats,michigan-wolverines,stanford-cardinal,georgia-bulldogs,usc-trojans,ucla-bruins,oklahoma-state-cowboys,iowa-hawkeyes,california-golden-bears,temple-owls,duke-blue-devils
eric-hansen,2015,6,utah-utes,baylor-bears,tcu-horned-frogs,ohio-state-buckeyes,alabama-crimson-tide,clemson-tigers,michigan-state-spartans,lsu-tigers,oklahoma-sooners,notre-dame-fighting-irish,florida-gators,ole-miss-rebels,northwestern-wildcats,texas-am-aggies,georgia-bulldogs,florida-state-seminoles,stanford-cardinal,usc-trojans,ucla-bruins,boise-state-broncos,houston-cougars,michigan-wolverines,iowa-hawkeyes,toledo-rockets,duke-blue-devils
garland-gillen,2015,6,ohio-state-buckeyes,florida-gators,utah-utes,clemson-tigers,michigan-state-spartans,baylor-bears,tcu-horned-frogs,lsu-tigers,florida-state-seminoles,texas-am-aggies,alabama-crimson-tide,oklahoma-sooners,ole-miss-rebels,northwestern-wildcats,georgia-bulldogs,stanford-cardinal,usc-trojans,michigan-wolverines,notre-dame-fighting-irish,ucla-bruins,iowa-hawkeyes,oklahoma-state-cowboys,houston-cougars,california-golden-bears,memphis-tigers
garry-smits,2015,6,ohio-state-buckeyes,baylor-bears,tcu-horned-frogs,michigan-state-spartans,clemson-tigers,alabama-crimson-tide,texas-am-aggies,utah-utes,florida-gators,oklahoma-sooners,lsu-tigers,oklahoma-state-cowboys,florida-state-seminoles,northwestern-wildcats,stanford-cardinal,notre-dame-fighting-irish,usc-trojans,ole-miss-rebels,georgia-bulldogs,iowa-hawkeyes,boise-state-broncos,ucla-bruins,michigan-wolverines,california-golden-bears,memphis-tigers
gary-horowitz,2015,6,ohio-state-buckeyes,baylor-bears,michigan-state-spartans,lsu-tigers,utah-utes,alabama-crimson-tide,tcu-horned-frogs,clemson-tigers,texas-am-aggies,florida-gators,oklahoma-sooners,florida-state-seminoles,northwestern-wildcats,notre-dame-fighting-irish,stanford-cardinal,oklahoma-state-cowboys,michigan-wolverines,georgia-bulldogs,ole-miss-rebels,usc-trojans,california-golden-bears,ucla-bruins,toledo-rockets,iowa-hawkeyes,boise-state-broncos
