Season,Week,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2022,3,"florida-state-seminoles, minnesota-golden-gophers, mississippi-state-bulldogs","(florida-state-seminoles, minnesota-golden-gophers)",9,8,"(minnesota-golden-gophers, mississippi-state-bulldogs)",9,7,"(mississippi-state-bulldogs, florida-state-seminoles)",9,7
2022,3,"minnesota-golden-gophers, mississippi-state-bulldogs, washington-state-cougars","(minnesota-golden-gophers, mississippi-state-bulldogs)",9,7,"(mississippi-state-bulldogs, washington-state-cougars)",9,8,"(washington-state-cougars, minnesota-golden-gophers)",9,8
2022,4,"baylor-bears, byu-cougars, washington-huskies","(baylor-bears, byu-cougars)",24,39,"(byu-cougars, washington-huskies)",19,43,"(washington-huskies, baylor-bears)",31,32
2022,4,"florida-gators, texas-am-aggies, wake-forest-demon-deacons","(florida-gators, texas-am-aggies)",33,30,"(texas-am-aggies, wake-forest-demon-deacons)",31,30,"(wake-forest-demon-deacons, florida-gators)",32,28
2022,4,"texas-am-aggies, texas-longhorns, wake-forest-demon-deacons","(texas-am-aggies, texas-longhorns)",26,35,"(texas-longhorns, wake-forest-demon-deacons)",30,31,"(wake-forest-demon-deacons, texas-am-aggies)",30,31
2022,5,"arkansas-razorbacks, baylor-bears, byu-cougars","(arkansas-razorbacks, baylor-bears)",25,38,"(baylor-bears, byu-cougars)",26,37,"(byu-cougars, arkansas-razorbacks)",30,33
2022,5,"baylor-bears, byu-cougars, oklahoma-sooners","(baylor-bears, byu-cougars)",26,37,"(byu-cougars, oklahoma-sooners)",25,38,"(oklahoma-sooners, baylor-bears)",31,32
2022,5,"baylor-bears, byu-cougars, texas-am-aggies","(baylor-bears, byu-cougars)",26,37,"(byu-cougars, texas-am-aggies)",25,38,"(texas-am-aggies, baylor-bears)",28,34
2022,5,"florida-state-seminoles, minnesota-golden-gophers, pittsburgh-panthers","(florida-state-seminoles, minnesota-golden-gophers)",35,26,"(minnesota-golden-gophers, pittsburgh-panthers)",32,28,"(pittsburgh-panthers, florida-state-seminoles)",30,29
2022,5,"florida-state-seminoles, minnesota-golden-gophers, wake-forest-demon-deacons","(florida-state-seminoles, minnesota-golden-gophers)",35,26,"(minnesota-golden-gophers, wake-forest-demon-deacons)",33,30,"(wake-forest-demon-deacons, florida-state-seminoles)",34,28
2022,6,"lsu-tigers, mississippi-state-bulldogs, syracuse-orange","(lsu-tigers, mississippi-state-bulldogs)",27,23,"(mississippi-state-bulldogs, syracuse-orange)",30,29,"(syracuse-orange, lsu-tigers)",36,20
2022,7,"byu-cougars, coastal-carolina-chanticleers, notre-dame-fighting-irish","(byu-cougars, coastal-carolina-chanticleers)",19,17,"(coastal-carolina-chanticleers, notre-dame-fighting-irish)",19,15,"(notre-dame-fighting-irish, byu-cougars)",16,15
